product_id,メーカー,ブランド名,アイテムカテゴリ,ベストコスメ,ランキングIN
10197748,iFAMILYSC,rom&nd,メイクアップ > アイシャドウ > パウダーアイシャドウ,,
10190955,RAPHAS,アクロパス,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10220751,アモーレパシフィックジャパン,イニスフリー,日焼け対策・UVケア > 日焼け止め・UVケア(顔用),,
10225577,APR JAPAN,MEDICUBE(メディキューブ),スキンケア・基礎化粧品 > 目元・口元スペシャルケア > アイケア・アイクリーム,,
10252295,F＆Lコーポレーション,Redence,スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム,,
10232835,URG,SHANGPREE,スキンケア・基礎化粧品 > 化粧水 > ミスト状化粧水,,
10207465,アリエルトレーディング,FEMMUE（ファミュ）,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10217677,NATURE REPUBLIC,ネイチャーリパブリック,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液 > スキンケア・基礎化粧品 > 目元・口元スペシャルケア > アイケア・アイクリーム > ボディケア・オーラルケア > スペシャルボディケア・パーツ > ネック・デコルテケア,,
10233801,O.F.A,by : OUR,ヘアケア・スタイリング > シャンプー・コンディショナー > シャンプー・コンディショナー,,
10176597,"NORD MASON CO., LTD",Huxley,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10163239,セルトリオン・ヘルスケア・ジャパン,Hanskin(ハンスキン),ベースメイク > 化粧下地・コンシーラー > コンシーラー,,
10262643,大熊製薬,TARAJU,スキンケア・基礎化粧品 > 洗顔料 > 洗顔フォーム > スキンケア・基礎化粧品 > パック・フェイスマスク > 洗い流すパック・マスク,,
10174868,アモーレパシフィックジャパン,イニスフリー,メイクアップ > アイシャドウ > パウダーアイシャドウ,,
10209369,CosmeLab,ベリサム,スキンケア・基礎化粧品 > 目元・口元スペシャルケア > リップケア・リップクリーム,,
10176453,iFAMILYSC,rom&nd,ベースメイク > ファンデーション > リキッドファンデーション > ベースメイク > ファンデーション > その他ファンデーション,,
10255947,Korea Ginseng Corp,DONGINBI,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10162144,ミシャ ジャパン,MISSHA（ミシャ）,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10267278,VT COSMETICS,VT(ブイティー),スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10076070,アモーレパシフィックジャパン,アモーレパシフィック,ベースメイク > 化粧下地・コンシーラー > 化粧下地 > ベースメイク > ファンデーション > リキッドファンデーション > ベースメイク > ファンデーション > その他ファンデーション > 日焼け対策・UVケア > 日焼け止め・UVケア(顔用),,
10244945,SHINSEGAE,onoma,スキンケア・基礎化粧品 > 化粧水 > 化粧水 > スキンケア・基礎化粧品 > 洗顔料 > 洗顔フォーム > スキンケア・基礎化粧品 > パック・フェイスマスク > マッサージ料 > ボディケア・オーラルケア > デイリーボディケア > ボディローション・ミルク,,
10206146,SB COSMETICS CO,SELF BEAUTY,ベースメイク > 化粧下地・コンシーラー > 化粧下地,,
10250703,エルツティン,ARZTIN(エルツティン),スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10250704,エルツティン,ARZTIN(エルツティン),スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム,,
10267310,NEOPHARM,Real Barrier,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10193957,DYD,Lilybyred,メイクアップ > 口紅・グロス・リップライナー > 口紅,,
10184515,タマコシ,ダーマルショップ,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10169257,TEIYO,Ampulogy,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10098777,フードコスメ,SKINFOOD(スキンフード),ベースメイク > 化粧下地・コンシーラー > 化粧下地,,
10051100,アモーレパシフィックジャパン,マモンド,スキンケア・基礎化粧品 > パック・フェイスマスク > 洗い流すパック・マスク,,
10044478,"ENPRANI CO.,LTD.",HolikaHolika,メイクアップ > マスカラ > マスカラ,,
10035663,トゥークールフォースクール,too cool for school,ベースメイク > 化粧下地・コンシーラー > 化粧下地 > ベースメイク > 化粧下地・コンシーラー > コンシーラー > 日焼け対策・UVケア > 日焼け止め・UVケア(顔用),,
10011496,アモーレパシフィックジャパン,アモーレパシフィック,ベースメイク > フェイスパウダー > ルースパウダー > 日焼け対策・UVケア > 日焼け止め・UVケア(顔用),,
10007974,"ENPRANI CO.,LTD.",HolikaHolika,スキンケア・基礎化粧品 > パック・フェイスマスク > ゴマージュ・ピーリング,,
2929715,F&CO,BANILA CO,ベースメイク > 化粧下地・コンシーラー > 化粧下地,,
2896036,スティラ コスメティックス,スティラ,コフレ・キット・セット > メイクアップキット・パレット,,
2894896,アモーレパシフィックジャパン,アモーレパシフィック,スキンケア・基礎化粧品 > 洗顔料 > 洗顔石鹸,,
341308,スティラ コスメティックス,スティラ,メイクアップ > チーク > パウダーチーク > ベースメイク > フェイスパウダー > プレストパウダー,,
10259645,BUD,WELLDERMA,スキンケア・基礎化粧品 > パック・フェイスマスク > ゴマージュ・ピーリング,,
10210080,アモーレパシフィックジャパン,HERA,ベースメイク > ファンデーション > リキッドファンデーション,,
10217650,BENOW,ナンバーズイン(numbuzin),スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム,,
10263965,ミシャ ジャパン,MISSHA（ミシャ）,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10266313,GF PROJECT,B:lab,スキンケア・基礎化粧品 > 洗顔料 > 洗顔フォーム,,
10260670,The Founders,Anua,スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム,,
10266264,GF PROJECT,B:lab,スキンケア・基礎化粧品 > クレンジング > クレンジングクリーム,,クレンジングクリームランキング 14位
10247974,VT COSMETICS,VT(ブイティー),スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム,,
10228676,XATION,JUL7ME,ボディケア・オーラルケア > スペシャルボディケア・パーツ > ハンドクリーム・ケア,,
10252988,大熊製薬,Easydew,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10214760,HolikaHolika（韓国）,HolikaHolika（韓国）,メイクアップ > マスカラ > マスカラ,,
10258996,SkinFactory,KUNDAL,ヘアケア・スタイリング > スペシャルヘアケア > アウトバストリートメント,,
10211687,NATURE'S FRIEND,オールナチュラル,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10261529,JBP Korea,BONNY&J,スキンケア・基礎化粧品 > クレンジング > その他クレンジング,,
10222604,XATION,JUL7ME,ヘアケア・スタイリング > スペシャルヘアケア > アウトバストリートメント,,
10223202,COSRX,COSRX(コスアールエックス),スキンケア・基礎化粧品 > クレンジング > その他クレンジング,,
10261438,BARI＆U,groundplan,スキンケア・基礎化粧品 > 化粧水 > ミスト状化粧水,,
10224974,ONE THING（韓国）,ONE THING（韓国）,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10233798,O.F.A,by : OUR,ヘアケア・スタイリング > シャンプー・コンディショナー > シャンプー・コンディショナー,,
10223225,マックプランニング,FORENCOS,メイクアップ > アイシャドウ > ジェル・クリームアイシャドウ,,
10244874,FIRE WORKS,TIAM,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10225108,Dr.Althea,Dr.Althea,スキンケア・基礎化粧品 > その他スキンケア > その他スキンケア,,
10213796,Cross J,XOUL,スキンケア・基礎化粧品 > 目元・口元スペシャルケア > リップケア・リップクリーム,,
10265784,VIVAWAVE,hince,スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム,,
10128519,メディヒール,メディヒール(韓国),スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10266500,ベリーマム,Fit Your Skin,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10178078,F&CO,BANILA CO,スキンケア・基礎化粧品 > クレンジング > オイルクレンジング,,
10192332,CLIO COSMETICS,goodal（海外）,スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム,,
10171094,セキド,MEDIHEAL(メディヒール),スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10193989,ONE THING（韓国）,ONE THING（韓国）,スキンケア・基礎化粧品 > 化粧水 > 化粧水,,
10220580,APR JAPAN,MEDICUBE(メディキューブ),スキンケア・基礎化粧品 > 化粧水 > 化粧水,,
10211753,NATURE REPUBLIC,ネイチャーリパブリック,スキンケア・基礎化粧品 > その他スキンケア > その他スキンケア > ボディケア・オーラルケア > デイリーボディケア > ボディローション・ミルク,,
10190866,サン・スマイル,JMsolution japan,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10243426,ダリーフ,daleaf,ヘアケア・スタイリング > ヘアスタイリング > その他ヘアスタイリング,,
10186419,Wishtrend,I'm from(海外),スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム,,
10207002,AMUSE,AMUSE,メイクアップ > チーク > ジェル・クリームチーク,,
10214210,OU INTERNATIONAL,One-day's you(ワンデイズユー),スキンケア・基礎化粧品 > クレンジング > その他クレンジング,,
10204247,O.F.A,by : OUR,ヘアケア・スタイリング > スペシャルヘアケア > アウトバストリートメント,,
10025103,ドドジャパン,dodo(ドド),ベースメイク > 化粧下地・コンシーラー > 化粧下地,,
10253271,DFS,haruharu wonder,日焼け対策・UVケア > 日焼け止め・UVケア(顔用) > 日焼け対策・UVケア > 日焼け止め・UVケア(ボディ用),,
10167203,ドドジャパン,スピヨ,スキンケア・基礎化粧品 > 化粧水 > 化粧水,,
2936368,クオリティ,Dr.Jart+(海外),ベースメイク > 化粧下地・コンシーラー > 化粧下地 > ベースメイク > ファンデーション > クリーム・ジェルファンデーション > 日焼け対策・UVケア > 日焼け止め・UVケア(顔用),,
10222131,URG,SHANGPREE,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10240094,ISAMOGU,Celladix,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10247352,GPClub,L'ODEURLETTE,ボディケア・オーラルケア > スペシャルボディケア・パーツ > ハンドクリーム・ケア,,
2947676,ENPRANI（韓国）,ENPRANI（韓国）,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10257469,ダーマバイオテク,CICALINIC,スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム,,
10229368,CNCO,TheBOIBOY,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10225439,It'S Hanbul,enature,スキンケア・基礎化粧品 > パック・フェイスマスク > ゴマージュ・ピーリング > ボディケア・オーラルケア > スペシャルボディケア・パーツ > ボディスクラブ,,
10204498,BRAND501 Corp.,BARBER501,スキンケア・基礎化粧品 > その他スキンケア > その他スキンケア,,
10191623,セキド,MEDIHEAL(メディヒール),日焼け対策・UVケア > 日焼け止め・UVケア(ボディ用),,
10172409,アモーレパシフィックジャパン,エチュード,メイクアップ > アイシャドウ > パウダーアイシャドウ > コフレ・キット・セット > メイクアップキット・パレット,,
10163527,the SAEM international,the SAEM,メイクアップ > アイシャドウ > ジェル・クリームアイシャドウ,,
10141924,ポップベリー,ハイジドルフ,スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム > ベースメイク > 化粧下地・コンシーラー > 化粧下地,,
10126779,ポップベリー,ハイジドルフ,メイクアップ > アイブロウ > その他アイブロウ,,
10067307,フードコスメ,SKINFOOD(スキンフード),ベースメイク > 化粧下地・コンシーラー > 化粧下地 > 日焼け対策・UVケア > 日焼け止め・UVケア(顔用),,
10017958,TONYMOLY,TONYMOLY,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
2945212,It’s skin(韓国),It’s skin(韓国),スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
2944444,DERMAL KOREA,DERMAL,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
2944230,アモーレパシフィックジャパン,アモーレパシフィック,日焼け対策・UVケア > 日焼け止め・UVケア(顔用),,
2926556,It’s skin(韓国),It’s skin(韓国),スキンケア・基礎化粧品 > 化粧水 > 化粧水,,
2912753,スティラ コスメティックス,スティラ,香水・フレグランス > 香水・フレグランス(レディース・ウィメンズ),,
326798,スティラ コスメティックス,スティラ,美容グッズ・美容家電 > メイクアップグッズ > メイクブラシ,,
10261768,GOODAI GLOBAL,Beauty of Joseon,日焼け対策・UVケア > 日焼け止め・UVケア(顔用),,
10247690,フードコスメ,BIOHEAL BOH,スキンケア・基礎化粧品 > 化粧水 > 化粧水 > スキンケア・基礎化粧品 > 乳液・美容液など > 乳液,,
10228894,CLIO COSMETICS,CLIO,メイクアップ > チーク > パウダーチーク > メイクアップ > アイシャドウ > パウダーアイシャドウ > メイクアップ > アイブロウ > パウダーアイブロウ > コフレ・キット・セット > メイクアップキット・パレット,,
10255939,BBIA,BBIA,メイクアップ > チーク > ジェル・クリームチーク,,
